Pop,Pop Density,Ethnic Minorities,Income,Employment,IMD,Num of Cs,Num of  Is,Num of Ss
1464,99.822481,44.6,11.2,7.8,17.741,0,0,0
2052,61.450045,39,17.4,11.1,28.903,0,1,0
2164,84.623043,50.1,12.9,6.5,24.743,0,3,0
1805,110.752558,50.7,15.2,8.1,25.268,0,3,0
2437,94.285202,41.1,11.9,7.4,23.288,0,1,0
1353,50.084731,30,5.5,4.6,6.227,0,0,0
1744,82.641742,25.8,7.4,4.9,7.79,0,0,0
1780,52.348804,21,7.1,6.2,9.642,0,1,1
2135,62.493268,28,7.7,5.9,9.812,0,0,0
1727,36.689952,36.6,7.8,5.4,11.589,0,1,0
1486,86.599351,33.4,6.1,3.6,5.902,0,0,0
1463,40.436322,35.3,26.2,19.4,36.203,0,0,0
1461,70.516365,36.1,7.1,5.5,10.152,0,0,0
1746,35.539883,31.5,7.5,4.9,11.048,0,0,0
1779,60.59287,41.2,16.6,12.8,23.589,1,0,0
3282,104.95858,60.5,17.9,8.8,26.704,0,0,0
2260,148.28398,61.3,24.3,15.2,33.625,0,0,0
1572,85.700557,50,19.3,12.9,27.543,0,0,0
1961,93.359733,51,17.1,10.3,27.055,0,0,0
1840,95.231909,53,21.4,11,31,0,13,5
1854,79.762972,51.3,18.5,11.8,30.863,0,0,0
1995,48.457893,54.3,11.6,6.7,20.904,0,0,0
1539,109.93011,48.2,18.7,10.6,25.53,0,0,0
1680,130.110466,46.9,18.8,15.9,30.774,0,0,0
1772,173.602335,50.3,18.4,9.3,24.669,0,0,0
1745,54.10317,36.6,7.6,4.8,12.523,0,0,0
1618,29.950302,25.1,3.7,2,8.96,0,0,0
1682,148.548884,43.8,23.5,14.5,28.786,0,0,0
1560,69.759767,41.8,17.8,12.7,27.86,0,0,0
1600,39.9704,33.2,8.2,4.1,12.388,0,1,1
2143,173.280138,34.7,11.8,7.8,16.817,1,0,0
2303,62.693885,46.5,14.9,8.3,28.797,2,10,2
2706,130.814527,43.9,12.6,7.7,16.669,0,0,0
1502,95.374272,44.4,23.9,15.3,31.342,0,0,0
1786,77.587321,40.2,10.2,8.2,18.338,0,4,0
1716,87.261069,31.7,8.8,7.2,14.626,0,0,0
2141,100.277001,39.3,10.3,8.9,18.538,1,1,0
1899,89.551415,62.6,7.8,4,12.786,0,1,0
3197,144.835006,60.4,18.6,11.5,27.671,0,3,0
2261,52.869515,58.4,10.6,5.6,15.583,1,0,0
1790,149.295098,68.6,33.2,19.1,38.897,0,0,1
1890,149.495275,63.3,26.5,14.4,32.418,0,0,0
1811,93.50363,53.9,27.6,17.3,41.649,0,0,0
1725,101.830974,59.6,20.1,14.1,32.667,0,0,0
4984,190.210749,55.2,13.5,6.2,20.797,1,2,0
2123,100.111783,24.4,7.5,4,8.319,0,2,0
1636,124.461065,24.8,8.9,5.4,12.655,0,0,0
1487,48.657482,35,13,8.7,19.721,0,0,0
1818,35.272144,27.6,11.2,7.7,16.257,0,0,0
2202,72.088338,38.3,7,4.7,12.121,0,1,0
2480,102.792116,38.3,10.9,5.5,14.513,0,2,0
1646,90.943327,37.8,11.7,9.8,18.504,1,1,0
1703,113.727238,36.8,20,14.5,28.541,0,0,0
1845,31.286262,38.6,17.2,10.7,25.331,1,0,0
1897,134.866772,46.8,9.9,5,13.258,0,0,0
1597,39.722868,26,10.5,8.2,14.861,0,0,0
1323,20.509199,22,19.9,12.5,28.35,0,0,0
1592,60.735895,24.7,5,3.5,6.975,0,0,0
1631,64.837638,16.5,8.6,6.3,13.226,0,0,0
1845,61.141485,24.4,14.7,11.4,20.384,1,0,0
2361,82.908735,28.1,19.6,10.5,24.261,1,0,0
1773,26.871093,18.4,7.5,3.9,8.421,0,0,0
1775,63.966566,22.2,8.1,5,9.709,0,0,1
1963,130.577629,28.3,12.8,6.9,16.271,1,3,0
1507,27.59876,21.6,5.2,4.7,7.614,0,0,0
1703,79.870463,36.8,23.3,13.6,30.549,0,0,0
1835,132.840879,20.8,5.5,2.6,8.263,0,1,0
1835,31.15657,21.2,5.8,4.5,8.055,0,1,0
1780,113.46798,23.4,6.4,3.6,8.467,0,1,0
1778,99.000297,29.5,13,7.3,14.555,0,0,0
1804,180.421073,18.9,5.8,3.9,8.204,0,3,0
1888,83.793275,18.9,4,3.2,8.01,0,4,1
1678,75.823031,23.4,8.5,4.7,10.613,0,0,0
1762,30.405006,43.1,21.2,14.1,31.921,0,0,0
1528,198.650425,51.2,23.9,12.8,25.824,0,0,0
1739,77.682359,29.7,4.4,3.5,5.195,0,0,1
1736,86.600053,30.7,11.8,6.3,13.015,0,1,0
1542,4.836721,31.2,3.2,3.6,8.028,0,0,0
2235,224.512394,58.9,14.9,9.1,24.526,0,0,0
1715,77.461884,30.5,9.1,5.6,10.149,0,0,0
1585,62.967441,35,5.5,4.8,6.834,0,0,0
2151,81.780835,38,10.5,6.6,15.472,0,3,2
2106,58.986567,38.5,9,7.1,16.117,1,2,1
2012,60.579679,50.4,11.4,7.8,19.392,0,0,0
1995,66.192134,45.7,17.7,10.9,26.999,1,0,0
2344,106.742385,35.7,9.3,6.8,12.284,0,2,0
1979,63.857811,36.2,8.6,5.6,12.516,0,2,0
2201,53.0998,33.1,8.7,4.8,11.841,0,0,0
1642,47.38685,27.5,5.6,3.6,7.222,0,2,0
2083,85.592389,30.4,8.1,5.5,9.566,0,0,0
1676,49.710434,33.6,4.1,3.4,7.184,0,0,0
1797,89.054141,28.3,5.3,3.1,6.735,0,0,0
1972,62.338519,43.7,11.4,7.2,15.523,0,0,0
1877,54.976971,29.5,6.8,4.6,10.063,0,2,0
1669,46.735422,22.1,5.3,3.5,7.725,0,0,0
1555,12.438053,24.2,1.3,1.2,9.118,0,0,0
1657,40.420495,17.4,4.2,3.5,6.585,0,0,0
1700,36.433497,22.5,2.8,1,6.612,0,0,0
1502,47.578504,10.6,4.8,3.5,7.058,0,0,0
1620,30.188676,21.3,5.8,3.3,8.197,1,1,2
2286,79.069183,33.2,11.2,7.2,14.568,2,4,4
1511,47.265794,18.8,6.3,6.9,10.294,0,0,0
1399,34.606929,12.8,2.8,2.5,7.583,0,0,0
1885,47.876384,27.1,4.6,3.8,10.503,0,0,0
2328,89.438772,26.3,10.3,6.2,13.565,0,2,0
2132,113.169369,30.3,7.1,6.1,10.017,0,1,0
1851,130.421594,19.6,6.6,5.6,10.826,0,0,0
2050,103.341145,27.4,10.4,7.1,15.33,0,2,3
2080,109.381884,31.4,9.7,9.3,19.87,0,2,0
2188,239.759539,26.8,11.7,9.2,17.109,0,0,0
1340,25.267006,55.6,28,18.6,45.842,1,0,1
1989,50.195366,52.2,16.3,13,27.098,0,0,0
1663,28.390489,46.2,22.5,14.2,35.812,0,2,0
1700,126.726074,54.5,15.2,9.7,19.679,0,0,0
1991,56.140374,21.2,6.6,5.4,10.981,0,0,0
1798,102.391351,48.9,22.4,12.3,31.658,0,0,0
1967,92.821102,39.1,8.2,5.2,9.965,0,0,0
1511,5.405884,37,7.9,5.5,12.492,0,0,0
1763,65.075092,41.2,13.5,10.8,21.609,0,0,0
1982,93.561439,31.9,7.1,4.4,7.886,0,2,1
1989,49.770692,52.1,10.3,6.3,17.628,0,0,0
1980,62.166708,41.2,11.4,7.2,14.534,0,0,0
1936,65.11835,39.7,6.9,5.4,8.853,0,2,0
1853,78.194945,32.1,6.7,4.7,8.657,0,0,0
1950,48.772977,42.2,16.4,10.1,23.347,0,0,0
2039,82.335485,20.4,7.9,5.9,10.572,0,0,0
2206,69.008624,30.1,5.5,3.6,9.545,0,2,2
2096,85.762739,33.6,9.6,7.4,14.457,0,0,0
2086,47.25519,50.5,13.7,7.7,21.568,0,0,0
1765,34.510765,50.4,11.8,6.5,19.599,0,0,0
1804,67.651217,31.7,7.1,4,10.706,0,0,0
1655,88.761797,29.8,12.5,8.4,19.154,0,0,0
2030,93.155139,31.4,8.4,5.3,14.093,0,2,0
1738,71.36766,43.7,7.6,5.6,15.649,1,0,0
2231,114.329891,42.5,16.8,11.9,24.116,0,4,1
1528,13.790228,17.6,4.8,4,10.621,0,0,0
1736,69.131494,18.6,7.7,6.6,10.138,0,0,0
1800,82.061,11.7,4.6,3.6,7.296,0,0,0
1487,19.999808,14.3,2.6,4.4,5.863,0,0,0
2789,46.720551,19.9,10.7,7.1,13.03,1,1,1
2057,87.354196,25.5,14.4,11.4,18.853,0,3,0
1703,72.118507,21.9,9.9,7.4,13.376,0,0,0
1663,5.173054,21.3,4.3,3.2,9.449,0,0,0
1631,10.900284,11.4,4,2.8,7.764,0,0,0
1401,13.475079,36.5,14.9,9.7,18.729,0,0,0
1927,34.338524,33.2,7.9,4.3,10.628,0,0,0
1925,27.808041,47.9,16.8,11.9,25.001,1,2,2
1916,26.86061,25.1,5.8,4,9.156,0,0,1
2782,21.116615,42.1,9.5,6.6,13.364,0,0,0
2205,29.756583,43.9,11,7.4,19.85,0,0,0
1753,14.229855,19.9,4.6,2.9,7.628,0,0,0
3373,15.949189,42.8,9.4,4.6,11.643,0,0,0
1582,41.598428,21.7,2.4,2.4,5.865,0,0,0
1830,42.059515,38.8,11.6,7.7,16.482,0,1,0
2105,106.771889,31.6,12.6,8,15.103,0,0,0
1453,21.951267,21.8,4.5,3.1,8.023,0,0,0
1582,53.582825,23.8,8.6,5.7,12.75,0,0,0
2301,80.338277,30.2,14.8,6.9,15.262,0,1,1
1432,57.625089,23,6.7,4.7,10.434,0,0,0
1494,61.572086,22.7,8.7,6.9,11.98,0,0,0
1598,43.675787,23.2,4.1,3.4,6.648,0,0,0
1402,27.500699,20.5,3,1.6,4.839,0,0,0
1631,51.875633,32.4,12.1,8.3,14.148,0,1,0
2015,71.225368,33.1,12.6,8.6,15.582,0,0,0
1743,48.123051,40.9,11.8,6.3,13.504,0,0,0
1559,25.516921,40.5,2.7,2.3,4.061,0,0,0
2127,140.280889,45.9,14.4,10.6,18.23,0,0,0
1619,59.450253,44.1,3.3,1.8,5.525,0,0,0
1446,2.858171,18.8,1.7,1.7,8.956,0,0,0
1308,12.310775,22.8,2.3,3,3.958,0,0,0
1402,79.886227,31.9,8.1,5.9,10.933,1,0,0
1823,32.795415,33,5.7,4.5,8.582,0,0,0
1456,47.35561,28.3,3,1.9,4.647,0,0,0
1832,59.798289,33.1,13.6,8.3,15.477,0,0,0
1421,62.001501,25.8,10.5,8.2,15.134,0,0,0
1712,75.570102,29.4,17,11.9,23.897,0,0,0
1613,74.119872,22.2,16,10.4,22.723,0,0,0
1539,47.577843,27.9,9.1,6.5,13.041,0,0,0
1681,48.650789,41.9,24.9,17,38.33,0,0,0
1601,6.786152,20.6,12,9.8,19.937,0,0,0
1561,77.39054,38.9,23,16.6,32.936,0,0,0
1625,47.417817,19.8,7.9,7.7,11.315,1,0,0
1725,90.675757,21,6,4.4,7.608,0,0,0
1823,60.070359,23.4,9.3,8.6,12.242,0,0,0
1767,110.730541,39.5,6,5.6,13.306,0,0,0
1868,77.665514,37.8,8.5,5.3,12.11,1,0,0
1604,69.583756,43,7.4,4.4,9.009,0,1,0
2009,63.642216,35.5,9.4,4.6,11.827,0,11,4
2222,178.799886,43.3,11.9,6,17.004,0,3,0
1757,123.578504,35.9,9.7,5.9,12.253,0,0,0
1620,41.050815,40.6,4.8,4.8,7.059,0,0,0
2085,85.792043,43.2,12.9,8.6,15.595,1,0,0
1755,90.89111,42.2,5,3.2,6.805,0,0,0
1653,121.896021,30.8,8.7,6,13.531,0,0,0
1697,24.021915,59.7,16.4,11.7,27.857,1,1,2
1704,130.533562,63.2,7.5,4.4,14.045,0,0,0
1715,37.323488,55.4,14.7,8.1,23.325,1,0,0
2152,40.098723,51.5,20.4,10.9,31.832,0,0,0
1993,60.227653,50.7,9,5.9,13.899,0,0,0
2164,77.688011,42.2,10.8,6.4,19.223,0,0,0
1866,53.374379,19.5,4.3,5.3,11.072,0,0,0
1799,174.947737,53.2,15.1,9.6,24.927,0,0,0
2260,98.36842,59.7,11.5,7.6,19.932,0,0,0
2134,94.304215,51.3,5.5,3.5,10.677,1,3,0
1741,32.792363,40.5,23.9,16.3,32.727,0,1,0
2519,62.443891,48.6,13.8,7.9,19.874,0,0,0
1806,148.950702,41.8,9.8,5.4,10.85,0,0,0
1904,56.553864,45.1,12,5.6,14.711,1,2,1
1587,82.343717,30.9,7.6,4.6,9.915,0,0,0
1880,94.612307,28.1,7.7,3.9,8.719,0,0,0
1919,132.630743,31.6,10.4,7.7,14.405,0,0,0
1903,91.488045,30.2,12.4,7.8,14.866,1,1,0
2473,113.974505,42.3,11.8,7.8,18.834,1,8,2
1846,68.052367,29.9,9.4,7.5,13.755,0,1,0
1636,39.573286,6.4,3.9,3.5,5.875,0,0,0
1363,55.690583,10.3,5.3,3.8,11.973,0,0,0
1639,37.755972,8.9,4.3,4.5,7.68,0,0,0
1500,25.124911,7.5,5,4.9,11.404,0,0,0
1621,33.98512,10.3,9.7,7.5,15.875,0,0,0
1602,76.356176,10.8,11.2,8.7,17.867,0,0,0
1724,34.57061,14.5,15.1,13.7,28.281,0,0,0
1595,55.661613,24.1,10.6,7.8,16.091,0,0,0
1916,58.185792,15.7,16.7,12.6,25.871,1,2,0
1702,102.893396,21.4,8,6.3,12.987,0,0,0
2708,20.50194,39.3,16,9.5,31.73,1,0,0
2110,131.377531,43.6,22.2,13.7,31.362,0,0,0
1753,67.215049,25.3,16.5,9.3,19.57,0,0,0
1967,92.271504,26,12.3,7,18.89,0,0,0
1595,53.503261,7.4,10.9,9.9,16.3,0,0,0
1482,61.879098,8.2,7.4,4.4,12.831,0,0,0
1544,94.303414,6.8,6.2,5.7,8.884,0,0,0
