Pop,Pop Density,Ethnic Minorities,Income,Employment,IMD,Num of Cs,Num of  Is,Num of Ss
1776,42.930498,58.1,11.5,7.2,18.181,1,1,0
1728,70.578067,48.5,12.7,8.1,20.443,0,0,0
2031,50.36004,48.7,9.3,5.3,14.456,0,0,0
2116,70.427139,68.8,10.7,6.4,13.743,0,0,0
1736,72.384382,65.9,29.3,19,42.566,0,0,0
1858,68.761517,47,17.1,12.7,28.352,0,0,0
2027,80.969199,45.5,9,6.8,16.31,0,0,0
2196,97.002456,34.2,13.3,8.7,20.492,2,1,0
1764,122.011657,43.7,12.5,9.5,24.16,0,0,0
2045,72.635119,43.7,20.1,10.8,32.149,0,2,0
2184,41.983539,48.6,13.1,8,21.834,1,1,0
1800,63.187963,41.5,9.9,6.1,21.176,0,0,0
1720,79.148582,45.1,21.4,14,32.702,0,0,0
2187,90.378377,41.1,14.7,11.3,27.089,0,0,0
1841,52.711292,47.5,15.2,11.4,24.566,0,0,0
2098,37.588697,43.9,28.9,18.3,43.062,0,2,0
2937,26.123719,45.5,13,8.5,19.768,0,0,0
1599,57.405411,79.4,15.3,8.7,22.452,0,0,0
1694,115.723757,75.7,17.1,13.4,30.599,0,0,0
1941,80.43715,83,12.9,7.9,22.748,0,5,0
1613,47.19767,73.7,19.2,14.1,31.6,0,1,0
1530,60.531651,70.3,41.9,21.9,58.173,0,1,0
1673,342.578867,73.9,12.9,6.7,20.706,0,0,0
1884,107.455838,73.8,16.9,8.8,27.841,0,0,0
2158,177.808333,71.8,25,15.5,42.449,0,2,0
1420,83.861384,74.7,12.8,7.8,21.65,0,2,4
1780,132.975475,84.9,14.8,9.9,24.133,1,6,2
1277,116.950945,79,10.3,6.7,16.909,0,0,0
1608,78.737351,41.4,12.4,8,19.985,0,0,0
1862,117.490766,56.9,18.6,13.6,29.074,0,0,1
2113,153.066761,50.6,12.4,9,20.607,0,0,0
2037,86.578685,58.8,17.8,11.4,28.153,0,0,0
1197,96.575717,52.2,10.1,9.8,17.717,0,0,0
1492,71.451244,58.6,17.5,11.3,27.441,0,0,0
2069,179.22201,63.2,21.9,13.2,34.93,0,4,2
1728,89.064576,57.1,16.7,11.4,27.765,0,0,0
1655,83.720094,62.3,23.2,16.9,34.356,0,0,0
1663,30.29277,48.2,11.1,6.8,18.25,0,0,0
1837,47.219936,51.7,8.5,3.3,13.986,0,0,0
1759,57.291278,50,24.5,17.5,38.041,1,0,0
1900,37.429788,42.4,13.1,11,22.602,0,1,1
1545,184.911884,28.6,7.2,6.8,14.822,0,1,0
1748,265.719441,38.8,17.8,10.5,22.254,0,0,0
1455,116.006127,32.5,8.5,7.2,15.981,0,0,0
1561,130.494925,26.5,11.2,7.7,17.646,0,0,0
2272,142.264719,46.8,20.7,13.8,33.786,1,5,1
1635,169.699302,36.4,22.2,15,32.757,0,2,1
1473,78.763672,33.3,11.4,6.9,13.681,0,0,0
1582,61.561458,47.3,18.6,13.6,31.013,0,1,0
1369,92.973398,66.3,31.4,19,42.319,0,0,0
1689,98.769868,28.1,9.5,6.6,16.207,0,1,0
1316,26.67623,23.4,6.5,5.2,11.841,0,0,0
1609,49.015849,20.4,4.5,3.7,7.107,2,1,2
1717,79.184568,55.2,34.8,24,50.708,0,0,0
1663,109.655326,26.6,8,5.5,10.395,0,0,0
1704,60.708511,28.9,7.9,8.5,13.453,0,0,0
1977,127.740443,90.9,16.9,10.8,28.161,0,0,0
1760,60.0418,91.3,8.6,7.9,15.937,0,0,2
1875,124.290409,90.1,17.3,9.4,30.196,0,3,0
1613,117.200942,86.5,11.7,7.1,22.184,0,0,0
1414,53.907248,73,11.3,6.3,16.083,0,0,0
1806,79.339976,66.7,24,13.5,36.313,0,0,0
1954,168.352025,79.9,24.3,15.9,36.023,0,1,0
1328,15.203835,78.5,32.5,19.2,47.749,0,0,0
2845,118.438186,30.6,13.5,6.9,24.068,0,2,0
2695,147.810272,38.4,12.5,8.1,21.852,0,0,0
1463,91.744092,26,6.2,5.8,11.671,0,0,0
1497,62.878684,18.3,4.5,4.4,9.146,0,0,0
1655,65.573142,32.6,10.9,7.5,21.713,1,0,0
1416,53.067375,33.4,7.8,5.8,13.363,0,0,0
1476,85.683704,29.9,5.4,5.3,10.29,0,0,0
1801,68.876739,30.7,7.6,4.3,11.398,0,0,0
1461,80.272643,34.3,19.8,13.6,30.226,0,0,0
1382,66.119166,25.6,11.2,12.3,21.257,0,1,0
1910,51.300617,37.7,5.8,3.1,13.847,0,0,0
1517,73.056604,34.5,12.5,10.5,23.753,0,0,0
1345,75.841299,31.3,16.4,11,23.841,1,0,0
1372,51.634756,35.7,10.3,5.9,22.923,0,0,1
1690,58.648676,30.7,7.8,5.1,14.225,0,0,0
1467,74.482189,32.1,12.1,5.4,16.278,0,1,0
1520,60.252705,20.5,6.2,4.1,17.023,0,0,0
4405,99.662068,54.6,12.5,6.7,24.534,0,0,0
1486,32.088414,56.3,20.6,13.4,32.662,0,0,2
1673,87.181718,51.6,13.3,6.7,20.451,0,3,1
1615,40.343833,48.6,12.3,6.8,22.203,0,0,0
1398,74.475578,48.1,15,11.8,26.914,0,0,0
2482,115.883365,54.1,16,9.7,25.381,0,0,0
2876,119.316177,56.1,18.8,10.3,28.857,0,3,0
2056,204.245038,34.2,9.9,5.7,15.441,0,0,0
1668,17.384819,47.9,20,11.7,32.021,0,6,1
2348,20.630908,46,11.9,6.3,21.278,1,5,0
1448,24.730778,35.8,12.5,8.5,17.386,0,0,0
2301,187.804156,51.5,27,17.6,41.534,1,0,2
2019,64.130221,39.4,22.9,18.8,37.117,0,1,0
1621,80.655819,28.5,11.7,8.2,18.709,0,1,1
2153,138.964146,35.8,16.5,11.1,25.654,1,2,1
1841,104.602297,28,12.5,7.5,15.645,0,0,0
1607,76.827678,21.4,10.2,6.4,14.588,0,0,0
1534,94.245773,30.6,6.5,7.3,13.456,0,0,0
1674,89.770415,58.9,27.4,17.7,40.826,0,0,0
1619,74.532595,52.2,9.9,7.5,15.858,0,0,0
1377,56.913971,56.1,12.6,6.6,20.119,0,2,0
1814,75.522223,55.8,10.3,6.5,20.741,0,0,0
2187,44.720971,55.6,12.6,8.3,22.674,1,10,6
1570,72.343803,52.9,21.4,12.9,31.334,0,1,1
1732,45.70691,57.5,24,15.6,34.487,0,0,0
1631,37.300296,49.4,14,11.5,24.398,0,0,0
1691,41.199144,47,9.5,7.6,20.568,0,0,0
1752,24.04314,51.4,9.1,5.6,16.109,0,0,0
2008,61.684478,51.6,22.2,12.6,31.849,0,1,0
1612,66.186935,40.8,10.7,8.2,18.541,0,0,0
1932,73.598915,50.3,6.6,4.9,13.557,0,0,0
1627,51.214005,47.7,9.8,6.1,15.651,0,0,0
1829,55.818781,51.6,11.7,7,16.877,0,4,1
1570,26.269447,51.5,9.9,6.8,19.058,0,2,0
1692,48.148478,49.1,4.5,3.3,9.462,0,2,0
1784,68.093927,63.3,4.8,3.8,8.494,0,0,0
2026,46.426606,34.8,9.1,8,19.035,0,0,0
1880,54.785832,45.9,12.8,7.1,20.56,0,0,0
1970,32.6322,47.8,10.8,5.2,17.535,0,1,1
2040,50.928991,52.9,13.5,6.1,23.769,0,1,0
1440,71.590011,29.1,2.8,3.1,7.15,0,0,0
1848,50.085019,40.5,7.9,4.3,13.686,0,0,0
1513,51.754569,21.3,4.1,3.5,7.459,0,0,0
1441,109.108153,41.2,23.7,17.3,35.01,0,0,0
1456,59.944979,43.3,27.4,19.6,40.085,0,0,0
1484,28.370501,31.4,7.6,6,15.752,0,0,1
1681,53.692728,38.6,15.4,11.6,23.184,1,0,1
1548,84.56242,37.3,14.9,10.7,23.532,0,0,0
1414,305.962062,57.5,26.6,15.6,31.223,0,0,0
1396,140.905191,31.4,10,7.9,16.018,0,0,0
1290,87.145805,31.6,9.5,7.3,15.526,0,0,0
1814,33.877728,29,7.6,5.9,12.68,0,1,0
1587,97.446688,73.6,12.9,9.8,19.365,0,0,0
1529,81.147675,71.5,8.6,6.4,13.864,0,0,0
1450,130.727298,84.7,11.3,8.1,17.362,0,3,1
1911,61.871095,89.7,15.6,8.8,22.485,0,0,0
1628,117.971074,88.6,12.4,7.4,17.222,0,0,0
1372,94.382085,84.8,14,11.1,22.011,0,0,0
1713,60.748901,89.4,14.4,11,23.36,0,0,1
1761,112.491472,84.2,16.3,10.8,27.974,0,0,0
1717,68.184219,25,5.2,4.9,8.007,0,0,0
1611,165.99212,22,4.4,3.7,8.87,0,0,0
1692,49.438144,27.5,11.8,7.2,20.032,0,5,1
1575,60.659913,24.8,5.9,4.7,11.697,0,0,0
1613,98.746326,19.6,5.1,3.4,9.914,0,0,0
1594,131.779351,22.9,9.7,6.9,14.074,0,0,0
1617,111.296468,23.6,4.6,4.9,7.673,0,0,0
1652,96.031772,19.4,5.6,3.3,8.308,0,0,0
1855,29.789587,50.9,6.7,4.1,11.103,0,3,0
1959,18.601411,62.8,6.9,3.4,11.391,0,1,0
1760,56.459213,54.9,9.5,4.5,15.083,0,0,0
1782,78.832071,57,12.5,7,18.59,0,0,0
2061,62.994159,48.5,20.4,12.9,28.942,0,0,0
1791,78.236515,60.8,10.5,6.5,16.657,0,0,0
1627,83.196484,64.8,8.9,5.3,13.693,0,0,0
1535,54.307067,51.9,6.3,4.3,10.954,0,1,0
1377,71.526942,58.5,12.3,7.3,18.255,0,0,0
1516,103.582435,58.6,22.1,13.3,31.82,0,0,0
1931,52.005139,51.2,16.5,10.5,26.465,0,0,0
1685,54.6796,50.3,24.7,14,36.013,0,0,0
1476,123.872901,49.5,11,6.7,18.036,0,0,0
1488,30.739103,53.2,27.6,19.8,41.628,0,0,0
2044,61.527781,47.6,15.4,11.9,26.07,0,0,0
1829,27.789753,46.3,14.9,9.7,23.866,0,2,0
1778,59.624567,51.9,11.5,8.2,23.054,1,5,0
1687,64.875036,55.1,18.3,11.2,33.507,0,0,0
1704,19.249757,47.2,18.5,11.2,26.632,0,0,0
1743,20.806812,52.4,19.4,11.6,33.051,0,0,0
1774,90.338791,52.6,19.3,13.1,30.832,1,0,1
1732,49.156602,57.1,19.4,11.8,33.629,0,2,0
1731,60.478123,53.2,17.5,8.6,24.129,0,0,0
1756,49.294871,55.6,27.4,18.4,42.882,0,0,0
1604,112.135799,63.1,24.7,15.3,37.261,0,0,0
1449,128.508178,60.9,26.7,16.7,39.944,0,1,0
2285,85.326574,88.3,24.1,13,39.653,0,2,2
1551,97.116662,89.3,29.1,18.6,41.199,0,0,0
1745,36.553246,76.9,12.6,8,20.851,0,0,0
1573,49.616576,75.6,16.8,10.9,24.895,0,1,0
1611,12.05966,62.7,17.4,14.5,35.728,0,2,0
1731,29.545311,87.3,13.9,12.3,27.178,0,5,0
1457,20.781487,80.3,23.8,16.4,35.644,0,0,0
1893,176.330159,61.3,21.2,20.7,38.035,0,0,0
1731,71.192383,65.9,8.4,4.4,12.828,0,4,0
1874,149.543736,63.3,8.8,4.6,14.813,0,2,0
1452,49.341815,56.8,10,7.5,15.378,0,0,0
2314,50.184619,49.4,13.7,8,18.422,0,1,0
1767,91.783306,67.7,12,7.8,17.505,0,1,0
1851,98.798971,44.1,9.4,5.1,12,0,0,0
1779,28.114399,46,10.2,5.2,18.682,1,0,0
1576,36.35809,44.3,14.3,6.6,19.431,0,3,0
1392,17.977688,54.2,17.6,12.7,33.598,0,0,0
1486,56.668943,32.2,8.4,7.5,16.166,0,0,0
1874,91.764517,39.5,16.2,10.1,28.006,0,3,0
1593,126.149301,31.6,10.2,5.2,15.249,0,2,1
1447,67.537025,37,13.9,8.5,23.368,0,0,0
2091,90.540893,29.7,12.2,6.8,22.226,0,3,0
1707,111.005878,33.1,14.8,11.2,24.463,0,2,1
1802,298.282739,65.1,32.9,24.3,45.936,0,0,0
1437,142.209193,57,30.9,16.4,41.995,0,0,0
1452,53.123656,67.5,32.1,17.6,45.789,1,0,1
2278,192.349895,96.5,14.2,8.7,24.895,0,3,3
2024,136.313177,96.3,14.6,9.2,29.132,0,0,0
2198,57.615535,93,18.1,11.3,34.209,1,7,4
2142,90.565046,92.1,15.7,11.8,29.18,0,4,1
1744,143.735735,94.2,14.5,9,26.151,0,1,1
1598,108.545978,88.5,30.5,18.2,42.16,0,0,1
2265,44.108238,94.5,15.3,11.1,28.015,0,2,0
1941,159.241338,93.1,16.9,12.1,28.541,0,3,0
2282,91.926738,91.2,18.9,9.6,30.306,0,8,5
1708,159.481547,92.5,16.3,13.3,28.942,0,0,0
1975,123.429153,89.7,14.6,8,24.898,0,3,0
1993,37.570411,89.9,14,9.4,25.905,0,5,0
2265,114.977392,90.8,16.6,10.3,27.142,0,1,0
2192,227.804589,91.6,18.9,13,31.007,0,1,0
1810,164.4992,92.7,17.3,9.5,26.285,0,2,0
1888,157.724055,24.1,7.4,4.9,11.21,0,0,0
1625,81.282607,12.4,3.2,2.1,5.53,0,0,0
1625,100.292533,33.2,19,13,23.916,0,0,0
1699,98.301632,15.6,4.2,2.4,8.237,0,0,0
1603,245.21063,12.7,3.8,2.6,6.511,0,0,0
1820,110.995921,19.2,8.4,4.5,12.501,0,0,0
1965,96.418402,28.4,12.3,7.8,18.031,0,0,0
1408,73.046284,22.2,2.9,2.3,8.388,0,0,0
1619,173.281975,32,7.1,5.2,11.57,0,0,0
1610,123.16426,28.3,7.1,4.6,9.84,0,0,0
1661,114.471286,22.4,6.3,3.5,8.565,0,0,0
1688,51.31524,17.3,5.7,4.8,9.924,0,0,0
1534,80.914069,24.4,7.4,6.6,16.451,0,0,0
1391,70.9249,37.7,20.5,15.2,34.821,0,2,0
1718,122.994555,32.9,13,6.2,21.071,2,2,2
2083,139.641304,33.7,7.7,4.5,10.543,0,0,0
2013,144.04281,35.2,13.5,9.4,25.639,0,0,1
1905,107.91428,35,6.6,4.2,10.702,0,0,0
2137,106.031853,36.7,11.3,7.5,19.095,0,1,0
1899,103.738027,42.6,20.7,8.1,26.964,0,2,0
1689,64.173739,46,23.3,17.2,35.279,0,0,0
1615,121.374792,33.5,14.5,5.9,19.048,0,3,2
2337,85.879859,45.8,18.8,10,24.623,0,0,0
1341,94.078802,21,6.7,4.5,9.217,0,0,0
1410,44.235867,26.2,7.5,5,11.221,0,1,0
1647,55.406743,23.3,6.9,5.9,10.379,0,0,0
1338,94.270961,27.7,7.7,5.5,12.406,0,0,0
2005,56.082962,25.4,7,4.9,8.991,0,2,0
1673,48.912863,31.3,9.6,6.3,15.86,0,0,0
1549,33.489882,37.6,12,7.4,19.168,0,0,0
1915,72.276471,19.2,9.2,5.1,12.081,0,0,0
1642,71.627123,30.2,15.1,11.4,24.464,1,1,0
1659,16.81477,21.1,10.8,7.1,18.518,0,0,0
1708,107.102837,15.4,10.8,7.1,16.678,1,1,0
1841,130.902803,38.5,22.4,14.6,34.902,0,0,0
2056,106.261182,36.2,28.5,18.7,45.507,0,0,0
1917,108.214942,17.6,10.3,6.5,13.411,1,1,0
1769,1.231637,18.6,14.5,9.3,28.35,0,2,0
1529,30.445802,8.5,5,3.7,7.768,0,0,0
1584,50.255475,29.9,27.7,18.5,42.821,0,0,0
2013,17.693495,22.2,12.9,5.2,15.471,1,1,2
1705,46.351998,27.5,6.1,3.3,7.674,0,0,0
1862,3.431907,22.7,3.3,2.4,8.251,0,0,0
1681,25.905327,25.9,15.1,11,21.09,0,1,0
2134,29.29229,28.1,9.9,7.3,15.206,0,0,2
1607,61.620714,27.8,15.7,10.3,26.371,0,0,0
1730,87.278441,32.1,19,10.2,26.74,0,0,0
1641,10.785385,24.2,2.4,1.6,7.863,0,0,0
2003,121.628882,56.6,20.8,12.2,31.815,0,0,0
1222,243.59487,60.3,33.2,19.5,45.659,0,0,0
2119,49.968791,59.9,29.8,16.7,48.205,0,4,0
1954,73.598226,57.6,24.6,14.2,41.035,0,2,0
1644,12.324082,64.5,28.6,16.2,42.558,0,8,0
1881,110.7481,55.9,24.2,16.8,38.085,0,0,0
2639,86.050071,62.7,31.2,18.6,46.391,2,8,6
1779,162.60008,64.9,29.7,16,42.061,0,0,0
1860,182.24697,56.1,28.3,16.3,43.347,0,1,0
2106,145.8643,65.1,23.9,13.4,39.635,0,5,1
2009,49.090417,35.4,23,13.9,36.086,0,0,0
1634,126.746861,37,17.2,9.5,28.191,0,0,0
1516,104.910083,42,16.5,8.8,26.237,0,0,0
1977,117.122477,40.2,22.2,12.1,28.56,0,1,0
2529,9.175893,47.7,26.9,15,38.766,0,7,1
1718,67.774764,43.9,24.6,14,34.949,0,2,0
2359,83.390992,44.1,25.1,15,35.255,1,2,0
1723,58.024389,45.6,20.6,11.9,30.551,0,5,1
1696,51.329188,41.7,23.9,14.3,37.103,0,2,0
1831,195.066449,41.6,31.4,17.6,44.482,0,0,1
1874,50.972242,37.1,13.7,7.6,22.75,1,1,0
3188,23.117906,46.7,20.8,10,29.846,0,1,0
1862,114.82148,36.2,18.8,11.4,27.924,0,0,0
2145,121.506566,39.4,30.2,18.7,42.79,0,2,0
1974,154.801942,50.1,22.4,13,30.162,0,2,0
1743,57.647612,42.1,21.7,10.5,29.422,0,0,0
2483,89.572773,24.4,13.4,6.8,21.426,1,1,0
1585,24.587513,15.5,6.8,5.5,16.806,1,0,0
1362,20.757955,21.9,6.1,4.6,11.358,0,0,0
1804,37.290554,20,3.2,3.3,6.185,0,0,0
1700,46.275198,19.4,6.3,4.2,9.141,0,0,1
1510,98.011547,21.8,6.8,4.6,11.174,0,0,0
1388,49.544687,15.6,5.2,2.9,5.686,0,0,0
1701,64.748105,17.3,9.1,6.8,13.891,0,0,0
1904,127.822775,56.8,26.8,17,40.254,0,2,0
1764,82.952172,51.9,17.4,10.1,23.802,0,2,0
2022,159.537804,62.1,23.6,14.5,38.272,0,0,0
1819,54.501407,57.1,28.9,17.5,40.049,0,1,0
1537,166.710631,63.4,25.4,13.7,35.063,0,0,0
1652,60.782474,49.3,17.6,8.3,22.651,0,0,0
1357,80.19895,43.9,27.6,16.6,38.337,0,1,0
1607,70.581577,47.9,15.1,9.1,24.442,0,0,1
1861,182.562182,52.7,20.3,8.5,28.341,0,0,0
1913,171.498908,56.5,18.5,9.6,26.454,0,1,0
1258,15.550043,28.1,13.6,17.7,29.819,0,0,0
1687,71.071831,23.1,13.9,10.8,23.277,0,0,0
1639,8.452296,15,7.8,6.5,10.556,0,0,0
1885,49.051755,19.9,11,7.3,17.36,0,0,0
1757,90.919525,15.7,10,5.6,13.774,0,0,0
1519,16.550005,24.4,12.2,8.2,15.973,0,0,0
1911,47.143277,16.9,7.7,6.5,13.064,0,0,0
1686,74.84578,24.6,5.5,3.8,7.273,0,0,0
1854,100.68401,48.4,20.5,11.2,28.029,0,2,0
1987,16.469468,52.1,22.1,16.1,34.984,0,0,0
1588,46.919428,40.2,14.5,10.6,25.908,0,0,0
1890,76.110945,56.8,21.9,11.4,33.274,0,1,0
1664,91.042417,48.5,19.3,11.1,30.603,0,0,0
1793,92.797515,52.7,18.5,10.4,26.529,0,0,0
1970,123.196469,60.5,24.3,15.1,38.527,0,2,0
1329,12.538997,58.2,34.5,20.9,53.716,0,0,0
1375,38.5448,38.7,14.9,9,24.503,0,0,0
2066,209.129399,57.8,23.1,12.3,37.13,0,1,0
2308,109.118134,58.2,29.4,16.6,41.507,0,1,0
2116,162.169143,60.9,22.6,14.9,35.047,0,1,0
2078,186.080182,59.4,21,11,30.484,0,2,0
2068,130.659258,54.6,18.8,11.9,30.915,0,1,0
2118,115.836818,63.2,21.5,12.7,32.824,0,2,0
2179,137.122193,57.8,21.2,12,32.044,0,0,0
1849,92.222506,32.2,17.8,13.8,29.242,0,0,0
1502,105.64414,42.1,11.6,5.9,15.474,0,0,0
1870,167.575022,22.6,7.9,4.9,12.544,0,1,0
1729,64.965627,36.6,10.1,6.2,14.271,0,0,0
1474,71.459405,36.9,17.7,8.5,23.466,0,0,0
2006,86.957023,34.4,12,6.3,17.405,1,0,0
1573,56.720583,44.4,17.1,8.8,24.023,0,0,0
1596,88.089456,34.8,12,6.9,19.827,0,0,0
2238,74.532963,36.4,16.6,9.1,26.291,1,1,1
1898,73.666935,53.8,20.2,11.2,31.213,1,0,1
1971,107.298427,48,20.4,9.5,28.155,0,2,0
1571,79.344088,47.4,18.5,12.6,30.29,0,0,0
1722,105.071711,54.3,23.2,14.2,33.573,0,0,0
1585,8.141024,59.5,26.5,14.7,38.67,1,2,0
2129,72.528283,55.5,25.7,17.1,40.471,1,8,6
2292,130.716815,57.5,22.4,11.6,31.854,0,0,0
1891,154.80966,58.1,21.7,13.5,34.342,0,0,0
810,65.41275,57.1,30.7,20.4,47.177,0,2,1
1824,50.480383,32.8,13,8.5,21.859,1,2,1
2250,115.729025,25.1,12.1,6.7,18.403,1,0,0
1967,19.627713,34.1,23.1,13.8,33.421,2,1,0
1866,120.25546,31.4,15,9.3,21.731,0,1,0
1993,161.626942,48.2,25,14.2,37.118,0,2,0
1889,59.451191,40.7,18.7,12.8,28.911,0,1,0
2034,150.077219,45.7,33.4,20.9,48.739,0,0,0
1836,32.661487,29.6,14.8,8,22.402,0,0,0
3091,77.966624,38.5,12.2,5,13.242,1,4,0
1787,42.79381,32.4,11.8,8.9,17.439,0,0,0
2024,46.033172,30,6.1,3.9,8.942,0,0,0
2069,107.291413,32.9,12,6.4,14.078,1,0,0
1747,33.112095,24.2,6.5,3.7,8.803,0,0,0
1673,63.052674,40.4,15.1,9.8,21.144,0,0,0
2005,95.988674,28.1,10.7,6.7,16.784,0,0,0
1671,61.455814,23.9,5.6,3.6,10.158,0,0,0
1688,38.207641,30.3,9.6,5.8,15.807,0,1,0
1411,69.051689,48.3,22.9,14.3,34.923,0,0,0
1700,90.795955,40.4,22.3,13.2,32.233,0,1,0
1760,95.235003,42.8,12.8,8.3,20.501,0,0,0
1556,83.450339,21.2,4.7,3.7,8.429,0,0,0
1681,50.513519,23.6,5.6,4.4,8.506,0,1,0
1439,47.881116,24.1,5.4,3.9,7.078,0,0,0
1745,46.881879,38.4,6.1,4,11.197,0,3,0
1378,32.855312,32.9,8.3,5.1,14.357,0,0,0
1927,41.811563,13.3,11.6,8.3,18.752,0,3,0
1776,113.901915,20.9,9.5,4.6,11.559,0,0,0
1596,50.162177,15.5,6.3,5.9,11.124,0,0,0
1583,79.725956,17.1,10.2,7.4,15.185,0,0,0
1868,81.478167,18.4,10.7,7,14.261,1,0,0
1524,70.02917,15.6,6.3,5.5,9.711,0,0,0
1640,103.989065,23.9,13.9,8.2,18.608,0,0,1
1618,79.735967,20.4,6.7,4.3,9.625,0,0,0
1626,55.340842,17,6.8,6,9.567,0,0,0
1944,51.655326,40,31,19.2,45.483,0,0,0
1925,101.011802,34.9,18.9,11.7,27.925,0,1,1
2171,95.027734,39.7,19.4,11.5,29.152,1,1,2
2030,70.110857,40.5,22.7,11.3,32.093,0,0,0
2123,60.159514,47.1,30,17.3,42.876,0,2,1
1754,59.853615,33.9,24.8,13.7,36.024,0,0,0
1781,68.831386,33.5,23.3,16.2,42.143,0,0,0
2009,65.905137,32.3,14.4,8.8,26.37,0,0,0
1765,86.566205,53.5,23.1,15.6,38.285,0,1,0
1900,167.871765,58.9,28.7,16.2,42.024,0,1,0
2429,185.197751,64.9,20.5,12.8,34.676,0,1,2
1635,84.398344,41.5,12.9,7.5,19.27,0,0,0
1799,177.147151,58.4,20.4,11.3,30.164,0,0,0
1851,106.741988,64.5,23.2,12.4,39.726,1,3,2
2365,27.215556,58.5,23.6,13.2,41.09,1,3,0
1707,61.226473,52.2,20,10.9,34.488,0,2,0
2319,211.613155,63.4,29.4,17,46.641,0,0,0
1654,65.029222,27.2,11.8,6.5,16.576,0,1,0
1671,86.784687,18.1,7.1,5.1,10.265,1,0,0
1806,87.590115,31.5,11.9,6.8,16.271,0,0,0
1630,92.802294,20.6,8.8,7.8,13.927,0,0,0
1571,52.870242,16.6,3.5,2.3,6.287,0,0,1
1464,15.858412,22.7,4.6,4.6,9.832,0,0,0
1966,64.133515,22.6,7.4,5.6,10.386,0,2,1
1923,44.887666,30.2,12.4,7.6,17.923,0,1,0
1765,90.062568,46.9,10.4,7,17.934,1,0,1
1907,99.262728,41.4,10.3,6.6,15.488,0,0,0
1560,136.737573,46.6,9.6,5.5,15.713,0,2,0
2098,21.37154,42.8,24.4,18.5,39.32,0,0,0
1641,89.966696,50.7,32.8,21.5,47.53,0,0,0
1852,77.612375,44.6,28.1,17.3,39.498,0,0,0
2101,81.246772,48.9,20.4,14.7,33.562,1,0,0
2438,106.428421,49.3,19,11.5,26.804,0,3,0
1617,66.595395,44.6,25.8,16.1,37.671,0,0,0
1737,53.209576,14.6,5.4,3.6,10.762,0,1,0
1621,81.083423,19.6,14.6,9.6,20.417,0,1,1
1535,44.833428,22.2,15.1,10.2,23.276,0,0,0
1643,63.036167,13.8,6.1,4.5,13.467,0,0,0
1569,50.108469,11.3,5.5,4,8.831,0,0,0
1465,110.680603,16.1,7.5,6.6,12.942,0,1,0
1451,62.332045,20.8,14.8,11.1,24.143,0,0,0
2333,80.892406,17.2,6.9,5.6,12.083,0,0,0
1698,27.949041,34,19.6,14.4,36.01,0,0,0
1890,108.732772,32.8,17.7,13.5,27.748,0,1,0
1823,117.875781,36.4,13.2,8.1,18.27,0,0,0
2095,115.028485,42.7,22.2,14.6,31.725,1,1,0
1870,78.314065,26.4,8.2,6.4,14.689,0,0,0
1744,94.677311,15.1,6,5.9,11.428,0,0,0
2020,110.680159,48.6,28.7,19,36.347,0,0,0
2251,75.845474,47.8,15.8,9.4,23.247,0,0,0
1652,58.767756,16.2,5.6,5.5,9.357,0,0,0
1552,43.403248,24.7,8.9,7.7,15.157,0,1,0
1549,41.859768,21,9.2,6,14.161,0,0,0
1765,40.460099,19.1,9.4,8.6,17.402,0,0,0
1572,55.354418,17.4,9,7.1,13.508,0,0,0
1558,58.608912,13.5,7.6,5.1,10.965,0,1,0
2031,69.280725,17.1,20.9,17,32.404,0,0,0
1784,82.665112,17.2,22.8,19.7,36.698,0,0,0
1550,57.470045,13.3,7.7,6.6,13.453,1,0,0
1648,25.724683,10.7,3.5,4.5,7.194,0,0,0
1712,78.204216,10.3,4.2,3.9,6.397,0,0,0
1590,95.759233,10.4,12,8.4,17.855,0,1,0
1452,33.804767,6.1,5.7,5.4,14.25,0,0,0
1715,46.323366,13.9,12.7,12.1,21.984,1,3,0
1787,79.263909,13.5,8.7,6.1,12.889,0,0,0
1685,82.748126,11.8,12,8.8,18.934,0,0,0
1737,22.52818,15.8,14.7,10.4,20.04,0,0,0
1431,15.867248,9.2,3.8,3.8,8.565,0,0,0
1830,19.814888,21.4,11.7,7.7,20.234,1,0,0
1669,21.308632,12.6,5.4,3.9,8.775,1,0,1
1816,55.345777,13,15.2,10.4,23.606,0,0,0
1899,55.899249,16.3,11.3,6.4,14.743,0,0,0
1595,85.775087,25.8,19.2,13.8,31.693,1,1,0
1697,40.024288,16.7,18.8,14,31.869,0,0,0
1852,61.095777,25,12.3,9.4,24.743,0,0,0
1518,68.447554,12.3,15.3,12.9,25.331,0,0,0
1603,60.062211,19.1,24.8,16.5,40.633,0,0,0
2409,131.740093,52.3,20.5,12.5,30.377,0,0,0
2302,133.553556,61.6,26.4,16.5,34.131,0,1,0
2457,152.271108,72.3,13.4,7.1,18.55,0,3,0
1653,133.178031,51.1,24.5,15.9,34.156,0,0,0
1734,129.141522,45.8,27.4,20.4,41.733,0,0,0
1605,81.820654,45.2,14.1,8.3,23.232,0,0,0
1784,219.530674,58.5,16.9,12.1,25.682,0,0,0
1907,120.755594,49.4,18.7,11.1,27.056,0,0,0
2132,323.604996,47.1,20.3,11,28.086,0,0,0
3762,405.39776,45.5,23.6,11.7,30.555,1,0,0
1940,42.954767,26.4,9.6,6.4,16.332,0,3,2
1789,15.50482,12.6,4.8,3.2,11.497,0,0,0
